164,2019-09-03,4.41,4.48
165,2019-09-04,4.43,4.54
166,2019-09-05,4.55,4.51
167,2019-09-06,4.51,4.46
168,2019-09-09,4.48,4.56
169,2019-09-10,4.57,4.53
170,2019-09-11,4.54,4.53
171,2019-09-12,4.52,4.51
172,2019-09-16,4.47,4.55
173,2019-09-17,4.53,4.4
174,2019-09-18,4.52,4.44
175,2019-09-19,4.41,4.46
176,2019-09-20,4.44,4.38
177,2019-09-23,4.38,4.34
178,2019-09-24,4.36,4.36
179,2019-09-25,4.4,4.27
180,2019-09-26,4.27,4.16
181,2019-09-27,4.15,4.22
182,2019-09-30,4.22,4.2
183,2019-10-08,4.24,4.22
184,2019-10-09,4.21,4.19
185,2019-10-10,4.18,4.2
186,2019-10-11,4.2,4.22
187,2019-10-14,4.25,4.29
188,2019-10-15,4.32,4.26
189,2019-10-16,4.26,4.29
190,2019-10-17,4.23,4.24
191,2019-10-18,4.24,4.16
192,2019-10-21,4.12,4.17
193,2019-10-22,4.14,4.2
194,2019-10-23,4.2,4.18
195,2019-10-24,4.18,4.16
196,2019-10-25,4.15,4.16
197,2019-10-28,4.18,4.3
198,2019-10-29,4.31,4.24
199,2019-10-30,4.24,4.16
200,2019-10-31,4.13,4.08
201,2019-11-01,4.07,4.16
202,2019-11-04,4.21,4.21
203,2019-11-05,4.24,4.25
204,2019-11-06,4.24,4.27
205,2019-11-07,4.27,4.31
206,2019-11-08,4.31,4.27
207,2019-11-11,4.24,4.1
208,2019-11-12,4.13,4.07
209,2019-11-13,4.05,4.03
210,2019-11-14,4.03,4.05
211,2019-11-15,4.03,4.04
212,2019-11-18,4.04,4.03
213,2019-11-19,4.04,4.07
214,2019-11-20,4.07,4.0
215,2019-11-21,4.01,3.99
216,2019-11-22,3.98,3.99
217,2019-11-25,3.99,4.01
218,2019-11-26,4.17,4.07
219,2019-11-27,4.01,4.03
220,2019-11-28,4.01,4.0
221,2019-11-29,3.99,4.03
222,2019-12-02,4.02,3.99
223,2019-12-03,3.99,4.02
224,2019-12-04,4.0,4.11
